Títulos Hotel

1	Habitación individual
2	Habitación individual comfort
3	Habitación matrimonial
4	Habitación matrimonial comfort
5	Habitación ejecutiva individual
6	Habitación ejecutiva matrimonial
7	Suite
8	Suite comfort
9	Doble Simple - 2 personas
10	Doble Simple - 3 personas
11	Doble Simple - 4 personas
12	Doble Comfort - 2 personas
13	Doble comfort - 3 personas
14	Doble comfort - 4 personas
15	Doble Especial - 2 Personas
16	Doble especial - 3 personas
17	Doble especial - 4 personas
18	Triple comfort - 3 personas
19	Triple comfort - 4 personas
20	Triple Familiar - 3 personas
21	Triple Familiar - 4 personas

22	Cafetín
23	Zona Co working
24	Garaje privado
25	Agencia de turismo
26	Venta de souvenir






Títulos Bungalows

b01		Cabaña Alpina Guanábano
b02		Cabaña Alpina Buganvilla
b03		Cabaña Alpina Naranjo
b04		Habitación Ciprés 1
b05		Habitación Ciprés 2
b06		Habitación Ciprés 3
b07		Habitación Cocos 1
b08		Habitación Cocos 2
b09		Habitación Limonero 1
b10		Habitación Limonero 2
b11		Habitación Bambú 1
b12		Habitación Bambú 2
b13		Habitación Bambú 3
b14		Habitación Cedro 1
b15		Habitación Cedro 2
b16		Habitación Charapita 1
b17		Habitación Charapita 2
b18		Habitación Shinbillo 1
b19		Habitación Shinbillo 2
b20		Habitación Shinbillo 3

b21		Restaurante
b22		Piscina Y Bar
b23		Zona De Juegos
b24		Caminata Al Cerro Runa Machu
b25		Noches De Fogatas
